id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
1390, transformers, 6, 2, False, 2, 0, 0.6, 50, 0, 0, 7000, 5.72528188569, 6683644, 1, 10.0232560635, 5.33018112183, 85.353852272
1391, transformers, 10, 8, False, 2, 0, 14.4, 5, 0, 0, 8000, 43.2926318645, 1811203, 3, 201.878682852, 47.1742699146, 312.053645849
1392, transformers, 10, 2, False, 2, 0, 19.2, 30, 0, 0, 8500, 19.1124919823, 4027046, 2, 55.2240037918, 24.5665030479, 142.791196823
1393, transformers, 6, 16, False, 2, 0, 1.2, 50, 0, 0, 9500, 4.22449997493, 9059164, 0, 0, 16.7238850594, 86.7245211601
1394, transformers, 6, 16, False, 2, 0, 14.4, 5, 0, 0, 9500, 19.3600999287, 2002351, 2, 137.856971979, 73.1927139759, 281.050020933
1395, transformers, 2, 4, False, 2, 0, 4.8, 50, 0, 0, 8500, 2.20129872958, 8106649, 1, 8.35203409195, 4.23928689957, 73.661359787
1396, transformers, 10, 4, False, 2, 0, 14.4, 5, 0, 0, 8000, 43.4139686312, 1805272, 3, 210.543195248, 39.358371973, 312.90240407
1397, transformers, 6, 8, False, 2, 0, 4.8, 50, 0, 0, 15000, 2.68016469479, 14280470, 0, 0, 5.54529190063, 77.7208449841
1398, transformers, 10, 2, False, 2, 0, 1.2, 50, 0, 0, 9500, 8.4455709798, 9062561, 0, 0, 8.7374548912, 71.7377889156
1399, transformers, 6, 8, False, 2, 0, 14.4, 30, 0, 0, 10000, 4.22072240285, 9112217, 0, 0, 8.50415301323, 78.5047860146
139, transformers, 6, 16, False, 2, 0, 0, 50, 0, 0, 7000, 5.72754221303, 6681258, 0, 0, 22.6667921543, 92.6672141552
1400, transformers, 6, 2, False, 2, 0, 1.2, 30, 0, 0, 9500, 4.22364388193, 9061122, 0, 0, 3.93123888969, 73.9318768978
1401, transformers, 10, 16, False, 2, 0, 19.2, 30, 0, 0, 10000, 19.0057257925, 4126903, 1, 56.9514381886, 31.0915360451, 151.04392314
1402, transformers, 6, 2, False, 2, 0, 19.2, 30, 0, 0, 10000, 9.10326928752, 4318673, 4, 52.6758108139, 9.77783203125, 132.454767942
1403, transformers, 2, 8, False, 2, 0, 19.2, 30, 0, 0, 10000, 4.70924331347, 4197562, 3, 66.7989287376, 15.391906023, 142.191590071
1404, transformers, 6, 8, False, 2, 0, 0, 30, 0, 0, 15000, 2.67896706717, 14285038, 0, 0, 5.5438580513, 77.718280077
1405, transformers, 10, 8, False, 2, 0, 0.6, 50, 0, 0, 15000, 5.35706482615, 14287199, 0, 0, 5.54368185997, 70.2505249977
1406, transformers, 2, 8, False, 2, 0, 4.8, 30, 0, 0, 9500, 1.9704921325, 9056721, 0, 0, 8.2507250309, 68.2512791157
1407, transformers, 2, 4, False, 2, 0, 14.4, 30, 0, 0, 9500, 2.18133335114, 8382219, 1, 9.56580400467, 3.98811912537, 74.7220609188
1408, transformers, 10, 8, False, 2, 0, 1.2, 5, 0, 0, 8000, 10.0246340207, 7634532, 1, 0.381790876389, 10.3667469025, 73.3673670292
1409, transformers, 2, 8, False, 2, 0, 1.2, 30, 0, 0, 9000, 2.07974525293, 8581272, 0, 0, 8.71019911766, 68.7107601166
140, transformers, 6, 4, False, 2, 0, 14.4, 5, 0, 0, 9000, 19.0780182566, 2024909, 6, 185.269851446, 16.8324708939, 272.10368681
1410, transformers, 2, 16, False, 2, 0, 1.2, 50, 0, 0, 8000, 2.33876973788, 7630618, 0, 0, 19.2958810329, 79.2961969376
1411, transformers, 10, 16, False, 2, 0, 19.2, 50, 0, 0, 7000, 11.5491309847, 6633437, 0, 0, 22.6596848965, 85.6600408554
1412, transformers, 10, 8, False, 2, 0, 4.8, 5, 0, 0, 9500, 8.44151156289, 9065793, 0, 0, 8.73460316658, 71.7349381447
1413, transformers, 6, 4, False, 2, 0, 14.4, 50, 0, 0, 7000, 5.72491168976, 6684278, 1, 10.0185620785, 5.32881379128, 85.3478608131
1414, transformers, 6, 2, False, 2, 0, 0.6, 50, 0, 0, 15000, 2.67696462359, 14295569, 0, 0, 2.49206399918, 74.6710579395
1415, transformers, 6, 2, False, 2, 0, 0.6, 30, 0, 0, 9000, 4.45611379828, 8587213, 0, 0, 4.14816689491, 74.1488518715
1416, transformers, 2, 8, False, 2, 0, 14.4, 30, 0, 0, 15000, 1.51672611237, 12251234, 0, 0, 5.85267186165, 65.8529999256
1417, transformers, 10, 2, False, 2, 0, 4.8, 50, 0, 0, 10000, 8.01700040272, 9545716, 0, 0, 8.28961801529, 71.2899670601
1418, transformers, 10, 2, False, 2, 0, 19.2, 50, 0, 0, 8500, 9.73271632195, 7843641, 0, 0, 9.75248003006, 72.7528340816
1419, transformers, 2, 16, False, 2, 0, 4.8, 30, 0, 0, 10000, 1.87190918922, 9533689, 0, 0, 15.4534778595, 75.4541659355
141, transformers, 6, 16, False, 2, 0, 19.2, 5, 0, 0, 10000, 42.7477509124, 915567, 2, 401.640877247, 146.835263014, 618.477421045
1420, transformers, 10, 16, False, 2, 0, 1.2, 30, 0, 0, 8000, 10.0203491279, 7637372, 0, 0, 19.8227779865, 82.8231260777
1421, transformers, 10, 2, False, 2, 0, 0, 5, 0, 0, 9000, 8.90954467228, 8589441, 0, 0, 9.21402001381, 72.2143740654
1422, transformers, 10, 2, False, 2, 0, 4.8, 5, 0, 0, 10000, 8.10681881223, 9442489, 0, 0, 8.4920899868, 71.4924221039
1423, transformers, 6, 2, False, 2, 0, 19.2, 5, 0, 0, 15000, 42.5007577283, 916034, 7, 486.082994938, 38.9374649525, 556.633872032
1424, transformers, 10, 4, False, 2, 0, 9.6, 30, 0, 0, 10000, 8.01891732216, 9543520, 0, 0, 8.29216217995, 71.2925190926
1425, transformers, 10, 16, False, 2, 0, 4.8, 30, 0, 0, 7000, 11.4481925624, 6684765, 0, 0, 22.6442039013, 85.6445577145
1426, transformers, 6, 2, False, 2, 0, 1.2, 30, 0, 0, 8500, 4.7173561539, 8111805, 1, 6.5613079071, 4.38897919655, 80.951141119
