segment_length;buffer_size;lr;mlbs;bandwidth;mean(buffer_underrruns)
0,2;0,25;0;0,1;0,466666666666667;0,371428571428571
0,2;0,25;0;0,1;0,533333333333333;0,171428571428571
0,2;0,25;0;0,1;0,566666666666667;0,0571428571428571
0,2;0,25;0;0,1;0,6;0,0285714285714286
0,2;0,25;0;0,1;0,633333333333333;0,0285714285714286
0,2;0,25;0;0,1;0,666666666666667;0,0285714285714286
0,2;0,25;0;0,1;1;0
0,2;0,25;0;0,6;0,466666666666667;0,371428571428571
0,2;0,25;0;0,6;0,533333333333333;0,171428571428571
0,2;0,25;0;0,6;0,566666666666667;0,0571428571428571
0,2;0,25;0;0,6;0,6;0,0285714285714286
0,2;0,25;0;0,6;0,633333333333333;0,0285714285714286
0,2;0,25;0;0,6;0,666666666666667;0,0285714285714286
0,2;0,25;0;0,6;1;0
0,2;0,25;0;1;0,466666666666667;0,371428571428571
0,2;0,25;0;1;0,533333333333333;0,171428571428571
0,2;0,25;0;1;0,566666666666667;0,0571428571428571
0,2;0,25;0;1;0,6;0,0285714285714286
0,2;0,25;0;1;0,633333333333333;0,0285714285714286
0,2;0,25;0;1;0,666666666666667;0,0285714285714286
0,2;0,25;0;1;1;0
0,2;0,25;0,015625;0,1;0,466666666666667;0,371428571428571
0,2;0,25;0,015625;0,1;0,533333333333333;0,171428571428571
0,2;0,25;0,015625;0,1;0,566666666666667;0,0571428571428571
0,2;0,25;0,015625;0,1;0,6;0,0285714285714286
0,2;0,25;0,015625;0,1;0,633333333333333;0,0285714285714286
0,2;0,25;0,015625;0,1;0,666666666666667;0,0285714285714286
0,2;0,25;0,015625;0,1;1;0
0,2;0,25;0,015625;0,6;0,466666666666667;0,371428571428571
0,2;0,25;0,015625;0,6;0,533333333333333;0,171428571428571
0,2;0,25;0,015625;0,6;0,566666666666667;0,0571428571428571
0,2;0,25;0,015625;0,6;0,6;0,0285714285714286
0,2;0,25;0,015625;0,6;0,633333333333333;0,0285714285714286
0,2;0,25;0,015625;0,6;0,666666666666667;0,0285714285714286
0,2;0,25;0,015625;0,6;1;0
0,2;0,25;0,015625;1;0,466666666666667;0,371428571428571
0,2;0,25;0,015625;1;0,533333333333333;0,171428571428571
0,2;0,25;0,015625;1;0,566666666666667;0,0571428571428571
0,2;0,25;0,015625;1;0,6;0,0285714285714286
0,2;0,25;0,015625;1;0,633333333333333;0,0285714285714286
0,2;0,25;0,015625;1;0,666666666666667;0,0285714285714286
0,2;0,25;0,015625;1;1;0
0,2;0,25;0,03125;0,1;0,466666666666667;0,371428571428571
0,2;0,25;0,03125;0,1;0,533333333333333;0,171428571428571
0,2;0,25;0,03125;0,1;0,566666666666667;0,0571428571428571
