id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
001, stalingrad, 6, 16, False, 2, 0, 0, 30, 0, 0, 9000, 4.01817326886, 8589225, 0, 0, 3.99947094917, 74.0001349449
002, need4speed, 10, 4, False, 2, 0, 0, 5, 0, 0, 15000, 4.3563785851, 14296817, 0, 0, 4.29907202721, 74.1645278931
003, transformers, 2, 16, False, 2, 0, 9.6, 30, 0, 0, 10000, 1.87185184161, 9534367, 0, 0, 1.90851712227, 61.9091131687
004, stalingrad, 2, 16, False, 2, 0, 0.3, 30, 0, 0, 10000, 1.69051561356, 9531235, 0, 0, 1.67989683151, 61.6804487705
005, stalingrad, 6, 12, False, 2, 0, 9.6, 5, 0, 0, 8000, 7.95556129728, 4546095, 4, 37.2761073112, 6.94683885574, 114.223235846
006, stalingrad, 2, 12, False, 2, 0, 1.2, 30, 0, 0, 8000, 2.11141361396, 7631108, 2, 4.30750393867, 2.09768295288, 66.4055190086
007, stalingrad, 10, 12, False, 2, 0, 0, 5, 0, 0, 8500, 8.50680249078, 8114200, 0, 0, 8.30797696114, 71.3083329201
008, stalingrad, 2, 16, False, 2, 0, 0, 50, 0, 0, 8000, 2.11146846612, 7630908, 2, 4.30976700783, 2.09750699997, 66.4080638885
009, need4speed, 6, 12, False, 2, 0, 2.4, 30, 0, 0, 15000, 2.32441719373, 14289742, 0, 0, 2.59108710289, 80.4536540508
010, need4speed, 10, 12, False, 2, 0, 0.6, 5, 0, 0, 15000, 4.35643965006, 14296805, 0, 0, 4.29877901077, 74.1646449566
011, need4speed, 10, 4, False, 2, 0, 0.6, 30, 0, 0, 7000, 9.31671276689, 6684772, 1, 11.4699788094, 9.1999809742, 88.093501091
012, stalingrad, 10, 16, False, 2, 0, 14.4, 30, 0, 0, 9500, 8.39671128137, 8261345, 0, 0, 9.42633509636, 72.426677227
013, need4speed, 6, 4, False, 2, 0, 0, 5, 0, 0, 8000, 4.34958696365, 7636677, 0, 0, 4.85051894188, 80.8436210155
014, transformers, 10, 12, False, 2, 0, 1.2, 30, 0, 0, 9000, 8.90763112477, 8591273, 0, 0, 9.2119820118, 72.2123930454
015, transformers, 10, 16, False, 2, 0, 0.3, 5, 0, 0, 9500, 8.43957492283, 9067681, 0, 0, 8.72416090965, 71.7245879173
016, stalingrad, 6, 16, False, 2, 0, 4.8, 30, 0, 0, 9500, 3.8233904498, 9032858, 0, 0, 3.78885388374, 74.2719027996
017, need4speed, 2, 16, False, 2, 0, 14.4, 5, 0, 0, 8000, 9.08058051909, 1853481, 15, 206.081467152, 13.4417271614, 280.25293231
018, stalingrad, 10, 12, False, 2, 0, 9.6, 5, 0, 0, 8500, 14.4594327382, 4801117, 2, 32.4317169189, 14.7874269485, 110.219865799
019, transformers, 6, 12, False, 2, 0, 9.6, 50, 0, 0, 15000, 2.67736050061, 14292070, 0, 0, 2.49350190163, 74.6672728062
020, need4speed, 10, 4, False, 2, 0, 14.4, 5, 0, 0, 8000, 33.2815992236, 1904405, 3, 175.829882622, 27.2536330223, 267.084661007
021, transformers, 10, 4, False, 2, 0, 19.2, 30, 0, 0, 9000, 18.1476784774, 4239350, 2, 57.1700224876, 15.8678410053, 136.038290024
022, need4speed, 2, 4, False, 2, 0, 14.4, 5, 0, 0, 8000, 8.5606458264, 1954576, 15, 196.26882863, 9.13540005684, 267.406344891
023, need4speed, 10, 12, False, 2, 0, 1.2, 5, 0, 0, 15000, 4.35556057096, 14298987, 0, 0, 4.30061984062, 74.1661148071
024, stalingrad, 10, 16, False, 2, 0, 0, 5, 0, 0, 9500, 7.61305802209, 9066656, 0, 0, 7.43690395355, 70.4372799397
025, transformers, 6, 4, False, 2, 0, 0, 50, 0, 0, 8500, 4.71643624987, 8112895, 1, 6.54453706741, 4.39218592644, 80.9377129078
026, stalingrad, 2, 16, False, 2, 0, 19.2, 5, 0, 0, 9500, 17.7732158025, 942002, 15, 449.149420023, 24.0723619461, 527.838932753
027, transformers, 6, 4, False, 2, 0, 19.2, 30, 0, 0, 9500, 9.57506135532, 4236423, 5, 60.4893956184, 8.57024502754, 139.061141014
028, need4speed, 6, 16, False, 2, 0, 0, 5, 0, 0, 8500, 4.09457190832, 8112328, 0, 0, 4.56672787666, 79.5674388409
029, transformers, 10, 12, False, 2, 0, 0.6, 50, 0, 0, 8000, 10.0176452909, 7639311, 0, 0, 10.3604800701, 73.360886097
030, transformers, 10, 16, False, 2, 0, 1.2, 30, 0, 0, 15000, 5.34995000703, 14304763, 0, 0, 5.53490591049, 70.2549889088
031, need4speed, 10, 4, False, 2, 0, 4.8, 5, 0, 0, 8000, 8.15201836824, 7640134, 0, 0, 8.04572606087, 72.0460941792
032, need4speed, 2, 16, False, 2, 0, 1.2, 5, 0, 0, 10000, 1.6867587028, 9532749, 0, 0, 2.28741812706, 64.2880752087
033, transformers, 6, 12, False, 2, 0, 9.6, 50, 0, 0, 8000, 5.01092500346, 7636294, 0, 0, 4.66261410713, 74.6632931232
034, transformers, 2, 12, False, 2, 0, 0.6, 50, 0, 0, 10000, 1.87215569019, 9531845, 0, 0, 1.90751194954, 61.9081280231
035, need4speed, 10, 4, False, 2, 0, 14.4, 5, 0, 0, 10000, 32.5095768869, 1922811, 4, 163.268951893, 32.8132350445, 260.021635294
036, stalingrad, 2, 4, False, 2, 0, 0.6, 50, 0, 0, 9500, 1.7788689057, 9057690, 0, 0, 1.76794290543, 62.8659160137
037, stalingrad, 6, 16, False, 2, 0, 2.4, 5, 0, 0, 8000, 4.52110438687, 7633942, 0, 0, 4.49879908562, 74.4993290901
038, transformers, 10, 16, False, 2, 0, 0.3, 50, 0, 0, 9500, 8.43989055497, 9067852, 0, 0, 8.72831511497, 71.728675127
039, stalingrad, 10, 16, False, 2, 0, 2.4, 5, 0, 0, 9500, 7.61318554197, 9066628, 0, 0, 7.43406200409, 70.4344241619
040, transformers, 10, 4, False, 2, 0, 9.6, 30, 0, 0, 9500, 8.44049811363, 9067295, 0, 0, 8.72761416435, 71.7279522419
041, transformers, 6, 12, False, 2, 0, 2.4, 30, 0, 0, 8500, 4.71653950214, 8113057, 0, 0, 4.38673996925, 74.3873801231
042, stalingrad, 10, 16, False, 2, 0, 9.6, 30, 0, 0, 9500, 7.6131369727, 9066551, 0, 0, 7.43499588966, 70.4353597164
043, need4speed, 10, 16, False, 2, 0, 0.6, 50, 0, 0, 8000, 8.15291345119, 7639113, 0, 0, 8.04950809479, 72.0498790741
044, transformers, 10, 12, False, 2, 0, 0.3, 30, 0, 0, 7000, 11.446657862, 6685636, 1, 5.28784394264, 11.8416829109, 74.8422470093
045, stalingrad, 6, 12, False, 2, 0, 14.4, 50, 0, 0, 9500, 3.80796706676, 9063610, 0, 0, 3.7894589901, 74.5016639233
046, transformers, 2, 12, False, 2, 0, 1.2, 5, 0, 0, 8000, 2.33839569887, 7631690, 3, 10.7965891361, 2.38394999504, 73.1811408997
047, stalingrad, 6, 16, False, 2, 0, 0, 5, 0, 0, 10000, 3.61758865629, 9540306, 0, 0, 3.60162186623, 73.6023168564
048, need4speed, 6, 4, False, 2, 0, 1.2, 30, 0, 0, 8000, 4.34918212891, 7637226, 0, 0, 4.85270690918, 80.8480379581
049, need4speed, 10, 12, False, 2, 0, 0.6, 30, 0, 0, 9000, 7.24883949757, 8591795, 0, 0, 7.15423798561, 71.1549239159
050, stalingrad, 6, 4, False, 2, 0, 0, 30, 0, 0, 9000, 4.01845085621, 8588770, 0, 0, 3.99957799911, 74.4786658287
