" ""mlbs""";" ""bandwidth""";" ""segment_length""";" ""number of stalls""";
 0.1; 0.466666666666667; 0.2; 4.33333333333333;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2;2;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2; 0.666666666666667;
 0.1; 0.566666666666667; 0.6; 0.111111111111111;
 0.1; 0.566666666666667;1;0;
 0.1; 0.6; 0.2; 0.333333333333333;
 0.1; 0.6; 0.6;0;
 0.1; 0.6;1;0;
 0.1; 0.633333333333333; 0.2; 0.111111111111111;
 0.1; 0.633333333333333; 0.6;0;
 0.1; 0.633333333333333;1;0;
 0.1; 0.666666666666667; 0.2; 0.111111111111111;
 0.1; 0.666666666666667; 0.6;0;
 0.1; 0.666666666666667;1;0;
 0.1;1; 0.2;0;
 0.1;1; 0.6;0;
 0.1;1;1;0;
 0.6; 0.466666666666667; 0.2; 4.33333333333333;
 0.6; 0.466666666666667; 0.6; 0.333333333333333;
 0.6; 0.466666666666667;1; 0.666666666666667;
 0.6; 0.533333333333333; 0.2;2;
 0.6; 0.533333333333333; 0.6; 0.111111111111111;
 0.6; 0.533333333333333;1; 0.111111111111111;
 0.6; 0.566666666666667; 0.2; 0.666666666666667;
 0.6; 0.566666666666667; 0.6; 0.111111111111111;
 0.6; 0.566666666666667;1;0;
 0.6; 0.6; 0.2; 0.333333333333333;
 0.6; 0.6; 0.6;0;
 0.6; 0.6;1;0;
 0.6; 0.633333333333333; 0.2; 0.111111111111111;
 0.6; 0.633333333333333; 0.6;0;
 0.6; 0.633333333333333;1;0;
 0.6; 0.666666666666667; 0.2; 0.111111111111111;
 0.6; 0.666666666666667; 0.6;0;
 0.6; 0.666666666666667;1;0;
 0.6;1; 0.2;0;
 0.6;1; 0.6;0;
 0.6;1;1;0;
1; 0.466666666666667; 0.2; 4.33333333333333;
1; 0.466666666666667; 0.6; 0.333333333333333;
1; 0.466666666666667;1; 0.666666666666667;
1; 0.533333333333333; 0.2;2;
1; 0.533333333333333; 0.6; 0.111111111111111;
1; 0.533333333333333;1; 0.111111111111111;
1; 0.566666666666667; 0.2; 0.666666666666667;
1; 0.566666666666667; 0.6; 0.111111111111111;
1; 0.566666666666667;1;0;
1; 0.6; 0.2; 0.333333333333333;
1; 0.6; 0.6;0;
1; 0.6;1;0;
1; 0.633333333333333; 0.2; 0.111111111111111;
1; 0.633333333333333; 0.6;0;
1; 0.633333333333333;1;0;
1; 0.666666666666667; 0.2; 0.111111111111111;
1; 0.666666666666667; 0.6;0;
1; 0.666666666666667;1;0;
1;1; 0.2;0;
1;1; 0.6;0;
1;1;1;0;
 0.1; 0.466666666666667; 0.2; 4.33333333333333;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2;2;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2; 0.666666666666667;
 0.1; 0.566666666666667; 0.6; 0.111111111111111;
 0.1; 0.566666666666667;1;0;
 0.1; 0.6; 0.2; 0.333333333333333;
 0.1; 0.6; 0.6;0;
 0.1; 0.6;1;0;
 0.1; 0.633333333333333; 0.2; 0.111111111111111;
 0.1; 0.633333333333333; 0.6;0;
 0.1; 0.633333333333333;1;0;
 0.1; 0.666666666666667; 0.2; 0.111111111111111;
 0.1; 0.666666666666667; 0.6;0;
 0.1; 0.666666666666667;1;0;
 0.1;1; 0.2;0;
 0.1;1; 0.6;0;
 0.1;1;1;0;
 0.6; 0.466666666666667; 0.2; 4.33333333333333;
 0.6; 0.466666666666667; 0.6; 0.333333333333333;
 0.6; 0.466666666666667;1; 0.666666666666667;
 0.6; 0.533333333333333; 0.2;2;
 0.6; 0.533333333333333; 0.6; 0.111111111111111;
 0.6; 0.533333333333333;1; 0.111111111111111;
 0.6; 0.566666666666667; 0.2; 0.666666666666667;
 0.6; 0.566666666666667; 0.6; 0.111111111111111;
 0.6; 0.566666666666667;1;0;
 0.6; 0.6; 0.2; 0.333333333333333;
 0.6; 0.6; 0.6;0;
 0.6; 0.6;1;0;
 0.6; 0.633333333333333; 0.2; 0.111111111111111;
 0.6; 0.633333333333333; 0.6;0;
 0.6; 0.633333333333333;1;0;
 0.6; 0.666666666666667; 0.2; 0.111111111111111;
 0.6; 0.666666666666667; 0.6;0;
 0.6; 0.666666666666667;1;0;
 0.6;1; 0.2;0;
 0.6;1; 0.6;0;
 0.6;1;1;0;
1; 0.466666666666667; 0.2; 4.33333333333333;
1; 0.466666666666667; 0.6; 0.333333333333333;
1; 0.466666666666667;1; 0.666666666666667;
1; 0.533333333333333; 0.2;2;
1; 0.533333333333333; 0.6; 0.111111111111111;
1; 0.533333333333333;1; 0.111111111111111;
1; 0.566666666666667; 0.2; 0.666666666666667;
1; 0.566666666666667; 0.6; 0.111111111111111;
1; 0.566666666666667;1;0;
1; 0.6; 0.2; 0.333333333333333;
1; 0.6; 0.6;0;
1; 0.6;1;0;
1; 0.633333333333333; 0.2; 0.111111111111111;
1; 0.633333333333333; 0.6;0;
1; 0.633333333333333;1;0;
1; 0.666666666666667; 0.2; 0.111111111111111;
1; 0.666666666666667; 0.6;0;
1; 0.666666666666667;1;0;
1;1; 0.2;0;
1;1; 0.6;0;
1;1;1;0;
 0.1; 0.466666666666667; 0.2; 4.33333333333333;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2;2;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2; 0.666666666666667;
 0.1; 0.566666666666667; 0.6; 0.111111111111111;
 0.1; 0.566666666666667;1;0;
 0.1; 0.6; 0.2; 0.333333333333333;
 0.1; 0.6; 0.6;0;
 0.1; 0.6;1;0;
 0.1; 0.633333333333333; 0.2; 0.111111111111111;
 0.1; 0.633333333333333; 0.6;0;
 0.1; 0.633333333333333;1;0;
 0.1; 0.666666666666667; 0.2; 0.111111111111111;
 0.1; 0.666666666666667; 0.6;0;
 0.1; 0.666666666666667;1;0;
 0.1;1; 0.2;0;
 0.1;1; 0.6;0;
 0.1;1;1;0;
 0.6; 0.466666666666667; 0.2; 4.33333333333333;
 0.6; 0.466666666666667; 0.6; 0.333333333333333;
 0.6; 0.466666666666667;1; 0.666666666666667;
 0.6; 0.533333333333333; 0.2;2;
 0.6; 0.533333333333333; 0.6; 0.111111111111111;
 0.6; 0.533333333333333;1; 0.111111111111111;
 0.6; 0.566666666666667; 0.2; 0.666666666666667;
 0.6; 0.566666666666667; 0.6; 0.111111111111111;
 0.6; 0.566666666666667;1;0;
 0.6; 0.6; 0.2; 0.333333333333333;
 0.6; 0.6; 0.6;0;
 0.6; 0.6;1;0;
 0.6; 0.633333333333333; 0.2; 0.111111111111111;
 0.6; 0.633333333333333; 0.6;0;
 0.6; 0.633333333333333;1;0;
 0.6; 0.666666666666667; 0.2; 0.111111111111111;
 0.6; 0.666666666666667; 0.6;0;
 0.6; 0.666666666666667;1;0;
 0.6;1; 0.2;0;
 0.6;1; 0.6;0;
 0.6;1;1;0;
1; 0.466666666666667; 0.2; 4.33333333333333;
1; 0.466666666666667; 0.6; 0.333333333333333;
1; 0.466666666666667;1; 0.666666666666667;
1; 0.533333333333333; 0.2;2;
1; 0.533333333333333; 0.6; 0.111111111111111;
1; 0.533333333333333;1; 0.111111111111111;
1; 0.566666666666667; 0.2; 0.666666666666667;
1; 0.566666666666667; 0.6; 0.111111111111111;
1; 0.566666666666667;1;0;
1; 0.6; 0.2; 0.333333333333333;
1; 0.6; 0.6;0;
1; 0.6;1;0;
1; 0.633333333333333; 0.2; 0.111111111111111;
1; 0.633333333333333; 0.6;0;
1; 0.633333333333333;1;0;
1; 0.666666666666667; 0.2; 0.111111111111111;
1; 0.666666666666667; 0.6;0;
1; 0.666666666666667;1;0;
1;1; 0.2;0;
1;1; 0.6;0;
1;1;1;0;
 0.1; 0.466666666666667; 0.2; 4.33333333333333;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2;2;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2; 0.666666666666667;
 0.1; 0.566666666666667; 0.6; 0.111111111111111;
 0.1; 0.566666666666667;1;0;
 0.1; 0.6; 0.2; 0.333333333333333;
 0.1; 0.6; 0.6;0;
 0.1; 0.6;1;0;
 0.1; 0.633333333333333; 0.2; 0.111111111111111;
 0.1; 0.633333333333333; 0.6;0;
 0.1; 0.633333333333333;1;0;
 0.1; 0.666666666666667; 0.2; 0.111111111111111;
 0.1; 0.666666666666667; 0.6;0;
 0.1; 0.666666666666667;1;0;
 0.1;1; 0.2;0;
 0.1;1; 0.6;0;
 0.1;1;1;0;
 0.6; 0.466666666666667; 0.2; 4.33333333333333;
 0.6; 0.466666666666667; 0.6; 0.333333333333333;
 0.6; 0.466666666666667;1; 0.666666666666667;
 0.6; 0.533333333333333; 0.2;2;
 0.6; 0.533333333333333; 0.6; 0.111111111111111;
 0.6; 0.533333333333333;1; 0.111111111111111;
 0.6; 0.566666666666667; 0.2; 0.666666666666667;
 0.6; 0.566666666666667; 0.6; 0.111111111111111;
 0.6; 0.566666666666667;1;0;
 0.6; 0.6; 0.2; 0.333333333333333;
 0.6; 0.6; 0.6;0;
 0.6; 0.6;1;0;
 0.6; 0.633333333333333; 0.2; 0.111111111111111;
 0.6; 0.633333333333333; 0.6;0;
 0.6; 0.633333333333333;1;0;
 0.6; 0.666666666666667; 0.2; 0.111111111111111;
 0.6; 0.666666666666667; 0.6;0;
 0.6; 0.666666666666667;1;0;
 0.6;1; 0.2;0;
 0.6;1; 0.6;0;
 0.6;1;1;0;
1; 0.466666666666667; 0.2; 4.33333333333333;
1; 0.466666666666667; 0.6; 0.333333333333333;
1; 0.466666666666667;1; 0.666666666666667;
1; 0.533333333333333; 0.2;2;
1; 0.533333333333333; 0.6; 0.111111111111111;
1; 0.533333333333333;1; 0.111111111111111;
1; 0.566666666666667; 0.2; 0.666666666666667;
1; 0.566666666666667; 0.6; 0.111111111111111;
1; 0.566666666666667;1;0;
1; 0.6; 0.2; 0.333333333333333;
1; 0.6; 0.6;0;
1; 0.6;1;0;
1; 0.633333333333333; 0.2; 0.111111111111111;
1; 0.633333333333333; 0.6;0;
1; 0.633333333333333;1;0;
1; 0.666666666666667; 0.2; 0.111111111111111;
1; 0.666666666666667; 0.6;0;
1; 0.666666666666667;1;0;
1;1; 0.2;0;
1;1; 0.6;0;
1;1;1;0;
 0.1; 0.466666666666667; 0.2; 4.33333333333333;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2; 2.11111111111111;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2; 0.777777777777778;
 0.1; 0.566666666666667; 0.6; 0.111111111111111;
 0.1; 0.566666666666667;1;0;
 0.1; 0.6; 0.2; 0.333333333333333;
 0.1; 0.6; 0.6;0;
 0.1; 0.6;1;0;
 0.1; 0.633333333333333; 0.2; 0.111111111111111;
 0.1; 0.633333333333333; 0.6;0;
 0.1; 0.633333333333333;1;0;
 0.1; 0.666666666666667; 0.2; 0.111111111111111;
 0.1; 0.666666666666667; 0.6;0;
 0.1; 0.666666666666667;1;0;
 0.1;1; 0.2;0;
 0.1;1; 0.6;0;
 0.1;1;1;0;
 0.6; 0.466666666666667; 0.2; 4.33333333333333;
 0.6; 0.466666666666667; 0.6; 0.333333333333333;
 0.6; 0.466666666666667;1; 0.666666666666667;
 0.6; 0.533333333333333; 0.2;2;
 0.6; 0.533333333333333; 0.6; 0.111111111111111;
 0.6; 0.533333333333333;1; 0.111111111111111;
 0.6; 0.566666666666667; 0.2; 0.666666666666667;
 0.6; 0.566666666666667; 0.6; 0.111111111111111;
 0.6; 0.566666666666667;1;0;
 0.6; 0.6; 0.2; 0.333333333333333;
 0.6; 0.6; 0.6;0;
 0.6; 0.6;1;0;
 0.6; 0.633333333333333; 0.2; 0.111111111111111;
 0.6; 0.633333333333333; 0.6;0;
 0.6; 0.633333333333333;1;0;
 0.6; 0.666666666666667; 0.2; 0.111111111111111;
 0.6; 0.666666666666667; 0.6;0;
 0.6; 0.666666666666667;1;0;
 0.6;1; 0.2;0;
 0.6;1; 0.6;0;
 0.6;1;1;0;
1; 0.466666666666667; 0.2; 4.33333333333333;
1; 0.466666666666667; 0.6; 0.333333333333333;
1; 0.466666666666667;1; 0.666666666666667;
1; 0.533333333333333; 0.2;2;
1; 0.533333333333333; 0.6; 0.111111111111111;
1; 0.533333333333333;1; 0.111111111111111;
1; 0.566666666666667; 0.2; 0.666666666666667;
1; 0.566666666666667; 0.6; 0.111111111111111;
1; 0.566666666666667;1;0;
1; 0.6; 0.2; 0.333333333333333;
1; 0.6; 0.6;0;
1; 0.6;1;0;
1; 0.633333333333333; 0.2; 0.111111111111111;
1; 0.633333333333333; 0.6;0;
1; 0.633333333333333;1;0;
1; 0.666666666666667; 0.2; 0.111111111111111;
1; 0.666666666666667; 0.6;0;
1; 0.666666666666667;1;0;
1;1; 0.2;0;
1;1; 0.6;0;
1;1;1;0;
 0.1; 0.466666666666667; 0.2; 4.66666666666667;
 0.1; 0.466666666666667; 0.6; 0.333333333333333;
 0.1; 0.466666666666667;1; 0.666666666666667;
 0.1; 0.533333333333333; 0.2; 2.11111111111111;
 0.1; 0.533333333333333; 0.6; 0.111111111111111;
 0.1; 0.533333333333333;1; 0.111111111111111;
 0.1; 0.566666666666667; 0.2;1;
