id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
919, transformers, 6, 2, False, 2, 0, 0, 50, 0, 0, 10000, 1.86931161086, 9548530, 1, 4.74373483658, 1.90860700607, 67.8623561859
920, transformers, 10, 2, False, 2, 0, 0.3, 50, 0, 0, 15000, 1.24872709115, 14292458, 0, 0, 1.27509188652, 62.7481179237
921, transformers, 6, 8, False, 2, 0, 1.2, 5, 0, 0, 10000, 1.86964250406, 9546188, 0, 0, 1.90615296364, 61.9066879749
922, transformers, 10, 2, False, 2, 0, 9.6, 5, 0, 0, 8000, 5.05186689695, 3856697, 13, 89.503721714, 4.07626605034, 153.58159399
923, transformers, 6, 4, False, 2, 0, 4.8, 65, 0, 0, 7000, 2.66798895995, 6688990, 5, 20.2098412514, 2.72160696983, 82.9320180416
924, transformers, 2, 4, False, 2, 0, 4.8, 50, 0, 0, 7000, 2.6687980175, 6686944, 5, 20.225703001, 2.72456908226, 82.9504039288
925, transformers, 10, 4, False, 2, 0, 14.4, 65, 0, 0, 9000, 2.07752946218, 8590526, 1, 4.14178299904, 2.12032699585, 66.2628200054
926, transformers, 6, 4, False, 2, 0, 9.6, 5, 0, 0, 10000, 4.19089099566, 4568274, 10, 64.6027081013, 3.13995599747, 127.7444489
927, transformers, 6, 4, False, 2, 0, 4.8, 50, 0, 0, 10000, 1.86934305827, 9547119, 1, 3.38242888451, 1.90630316734, 65.2892849445
928, transformers, 10, 12, False, 2, 0, 1.2, 50, 0, 0, 9000, 2.07672046026, 8593800, 1, 3.47589707375, 2.1203019619, 65.5962281227
929, transformers, 10, 4, False, 2, 0, 19.2, 5, 0, 0, 10000, 27.0649814129, 710744, 15, 730.543728352, 21.4328730106, 807.800186872
930, transformers, 2, 2, False, 2, 0, 0, 65, 0, 0, 8000, 2.33536442121, 7642345, 4, 12.7005560398, 2.38029408455, 76.0962879658
931, transformers, 6, 4, False, 2, 0, 0.3, 50, 0, 0, 15000, 1.24837819735, 14297991, 0, 0, 1.27284908295, 62.7462830544
932, transformers, 2, 4, False, 2, 0, 0.3, 50, 0, 0, 10000, 1.87011634509, 9543246, 1, 3.39154601097, 1.90481185913, 65.2965991497
933, transformers, 6, 12, False, 2, 0, 0.6, 65, 0, 0, 7000, 2.66853528023, 6687597, 5, 20.2253460884, 2.71729278564, 82.9430458546
934, transformers, 6, 8, False, 2, 0, 14.4, 50, 0, 0, 7000, 2.67807043393, 6643554, 5, 20.2446086407, 2.71950292587, 82.9648382664
935, transformers, 10, 4, False, 2, 0, 4.8, 5, 0, 0, 10000, 1.9268459638, 9299248, 1, 3.90960884094, 1.90625905991, 65.8163599968
936, transformers, 10, 4, False, 2, 0, 0.6, 5, 0, 0, 10000, 1.8700359424, 9542770, 1, 3.3820130825, 1.9068300724, 65.289358139
937, transformers, 10, 2, False, 2, 0, 0.6, 50, 0, 0, 7000, 2.66898672581, 6686927, 5, 20.8525490761, 2.7245259285, 84.45444417
938, transformers, 10, 12, False, 2, 0, 0.3, 50, 0, 0, 8000, 2.33621939023, 7638692, 3, 10.73554492, 2.38238787651, 73.1184868813
939, transformers, 2, 8, False, 2, 0, 0, 5, 0, 0, 9000, 2.07739662329, 8590318, 1, 3.4951581955, 2.1180138588, 65.6136889458
940, transformers, 6, 4, False, 2, 0, 14.4, 50, 0, 0, 10000, 1.87760566076, 9518691, 1, 3.59868597984, 1.90786004066, 65.5069983006
941, transformers, 6, 8, False, 2, 0, 9.6, 50, 0, 0, 9000, 2.07790499528, 8588314, 1, 3.50653100014, 2.12042498589, 65.6274371147
942, transformers, 2, 4, False, 2, 0, 9.6, 50, 0, 0, 9000, 2.07662674586, 8594289, 1, 4.11949896812, 2.12071418762, 66.2410383224
943, transformers, 10, 8, False, 2, 0, 19.2, 65, 0, 0, 10000, 1.87051954269, 9542161, 0, 0, 1.90815711021, 61.9086952209
944, transformers, 2, 12, False, 2, 0, 1.2, 50, 0, 0, 10000, 1.87036316395, 9542561, 0, 0, 1.90592503548, 61.9062969685
945, transformers, 10, 12, False, 2, 0, 1.2, 50, 0, 0, 10000, 1.87005283038, 9543784, 0, 0, 1.90563607216, 61.906165123
946, transformers, 10, 2, False, 2, 0, 1.2, 50, 0, 0, 8000, 2.33556536039, 7639837, 4, 12.6833341122, 2.38023018837, 76.072259903
947, transformers, 10, 2, False, 2, 0, 0, 5, 0, 0, 10000, 1.87009486357, 9543457, 1, 4.737855196, 1.89965987206, 67.8515868187
948, transformers, 10, 12, False, 2, 0, 0.3, 65, 0, 0, 8000, 2.33521053791, 7642201, 3, 10.7080056667, 2.37606906891, 73.0847740173
949, transformers, 2, 12, False, 2, 0, 0.3, 65, 0, 0, 8000, 2.3359795332, 7640516, 3, 10.732080698, 2.37976717949, 73.112388134
950, transformers, 2, 8, False, 2, 0, 0, 65, 0, 0, 15000, 1.24854713281, 14293179, 0, 0, 1.27603316307, 62.750025034
951, transformers, 2, 4, False, 2, 0, 0.6, 5, 0, 0, 10000, 1.86880590916, 9549103, 1, 3.50459384918, 1.903881073, 65.4088802338
952, transformers, 10, 12, False, 2, 0, 19.2, 5, 0, 0, 8000, 26.8090881983, 685096, 15, 724.430627108, 19.8672528267, 796.958122015
953, transformers, 6, 8, False, 2, 0, 1.2, 65, 0, 0, 10000, 1.86969149907, 9545675, 0, 0, 1.90787601471, 61.9084029198
954, transformers, 6, 4, False, 2, 0, 2.4, 50, 0, 0, 15000, 1.24837588469, 14296411, 0, 0, 1.27450203896, 62.7498130798
955, transformers, 2, 8, False, 2, 0, 19.2, 5, 0, 0, 9000, 24.8341565927, 744597, 15, 659.88403821, 25.1663150787, 739.858370066
956, transformers, 6, 4, False, 2, 0, 1.2, 65, 0, 0, 10000, 1.86977754434, 9546417, 1, 3.38544106483, 1.90660595894, 65.2926650047
957, transformers, 2, 4, False, 2, 0, 14.4, 65, 0, 0, 8000, 2.33563454151, 7641935, 3, 10.7260730267, 2.37713003159, 73.1037890911
958, transformers, 10, 2, False, 2, 0, 0.3, 50, 0, 0, 8000, 2.33510929743, 7642242, 4, 12.6874370575, 2.38295412064, 76.0820629597
959, transformers, 6, 12, False, 2, 0, 19.2, 50, 0, 0, 10000, 2.02303849061, 9035350, 1, 2.39565682411, 2.11626696587, 64.5123052597
960, transformers, 6, 12, False, 2, 0, 14.4, 50, 0, 0, 8000, 2.37066469193, 7532533, 3, 11.4381449223, 2.38157701492, 73.8205919266
961, transformers, 10, 2, False, 2, 0, 0.6, 5, 0, 0, 9000, 2.07590375741, 8598893, 2, 7.17736983299, 2.11625289917, 70.4212870598
962, transformers, 6, 2, False, 2, 0, 0.6, 50, 0, 0, 15000, 1.24855869611, 14297227, 0, 0, 1.2719950676, 62.7491791248
963, transformers, 2, 12, False, 2, 0, 1.2, 5, 0, 0, 9000, 2.07730353673, 8590699, 1, 3.4890370369, 2.11638498306, 65.6061611176
964, transformers, 6, 8, False, 2, 0, 0.3, 65, 0, 0, 15000, 1.24876275857, 14289864, 0, 0, 1.27668619156, 62.7504870892
965, transformers, 6, 12, False, 2, 0, 14.4, 50, 0, 0, 10000, 1.87159766356, 9533609, 0, 0, 1.90653991699, 61.9070668221
966, transformers, 10, 2, False, 2, 0, 2.4, 50, 0, 0, 10000, 1.86906503836, 9549108, 1, 4.71899485588, 1.90825796127, 67.840747118
967, transformers, 6, 2, False, 2, 0, 14.4, 65, 0, 0, 10000, 1.86932913462, 9546143, 1, 4.72790789604, 1.90813302994, 67.8477668762
968, transformers, 6, 2, False, 2, 0, 0, 50, 0, 0, 7000, 2.6685177962, 6688148, 5, 20.8260142803, 2.71175193787, 84.406619072
969, transformers, 6, 2, False, 2, 0, 0.6, 5, 0, 0, 9000, 2.07673331896, 8593912, 2, 7.17918896675, 2.11729001999, 70.4201948643
970, transformers, 6, 4, False, 2, 0, 4.8, 5, 0, 0, 10000, 1.93315029939, 9308811, 1, 3.68091797829, 1.90849900246, 65.5901889801
971, transformers, 10, 2, False, 2, 0, 4.8, 50, 0, 0, 8000, 2.33557219505, 7641439, 4, 12.8415653706, 2.38099193573, 76.239893198
972, transformers, 10, 12, False, 2, 0, 0.3, 65, 0, 0, 7000, 2.66878863176, 6688206, 5, 20.2398066521, 2.72219491005, 82.9632019997
973, transformers, 2, 2, False, 2, 0, 4.8, 65, 0, 0, 9000, 2.07609103521, 8596655, 2, 7.167781353, 2.11914300919, 70.4118111134
974, transformers, 2, 2, False, 2, 0, 0, 65, 0, 0, 9000, 2.07664043109, 8594366, 2, 7.19327616692, 2.11821198463, 70.4367170334
