10, 1.5, 15000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.23076923076923078, 0.6410256410256411, 0.11538461538461539
5, 1.5, 6000, 0.0, 0.0, 0.0, 0.0, 0.034482758620689655, 0.5632183908045977, 0.367816091954023, 0.034482758620689655, 0.0, 0.0, 0.0
5, 1.25, 9000, 0.0, 0.011904761904761904, 0.4166666666666667, 0.5119047619047619, 0.05952380952380952, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
15, 1.25, 9000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3670886075949367, 0.6329113924050633
15, 1, 6000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6626506024096386, 0.3373493975903614
7.5, 1, 10000, 0.0, 0.0, 0.25316455696202533, 0.6329113924050633, 0.11392405063291139, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0, 1.25, 6000, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
12.5, 1.25, 8000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7, 0.3
7.5, 1.5, 10000, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011764705882352941, 0.17647058823529413, 0.6235294117647059, 0.18823529411764706, 0.0, 0.0
1, 1.5, 10000, 0.6235294117647059, 0.36470588235294116, 0.011764705882352941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
5, 1, 10000, 0.5064935064935064, 0.4675324675324675, 0.025974025974025976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
